Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
1446,Forza Motorsport 7,Racing,E,XOne,Microsoft Studios,Turn 10 Studios,8.9,1.52,0.58,0.81,0.01,0.12,2017.0
1457,Call of Duty 3,Shooter,T,PS3,Activision,Treyarch,7.7,1.51,0.6,0.63,0.03,0.26,2006.0
1468,SoulCalibur II,Fighting,T,GC,Namco,Namco,9.2,1.5,0.99,0.32,0.11,0.08,2003.0
1470,Metal Gear Rising: Revengeance,Action,M,PS3,Konami Digital Entertainment,PlatinumGames,9.0,1.5,0.47,0.41,0.44,0.18,2013.0
1488,WWF No Mercy,Fighting,T,N64,THQ,Aki Corp.,9.1,1.5,1.2,0.27,0.02,0.02,2000.0
1493,Mafia II,Action,M,PS3,2K Games,Illusion Softworks,7.0,1.49,0.5,0.7,0.04,0.25,2010.0
1494,Dead Rising 2,Action,M,X360,Capcom,Blue Castle Games,8.2,1.49,0.75,0.53,0.09,0.13,2010.0
1499,Resistance 3,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,8.3,1.49,0.64,0.57,0.05,0.22,2011.0
1519,007: Quantum of Solace,Shooter,T,X360,Activision,Treyarch,6.6,1.48,0.82,0.51,0.01,0.14,2008.0
1529,Minecraft,Misc,E10,WiiU,Mojang,4J Studios,5.5,1.47,0.5,0.49,0.38,0.09,2016.0
1531,Fight Night Round 3,Fighting,T,X360,EA Sports,EA Chicago,8.6,1.47,1.33,0.03,0.01,0.1,2006.0
1538,Super Monkey Ball,Puzzle,E,GC,Sega,Amusement Vision,9.0,1.46,0.95,0.37,0.1,0.04,2001.0
1547,Battlefield: Bad Company,Shooter,T,X360,Electronic Arts,EA Digital Illusions CE,8.6,1.46,0.81,0.46,0.04,0.15,2008.0
1548,Mass Effect 2,Role-Playing,M,PS3,Electronic Arts,BioWare Edmonton,9.3,1.46,0.78,0.46,0.03,0.18,2011.0
1549,Homefront,Shooter,M,X360,THQ,Kaos Studios,6.7,1.46,0.83,0.48,0.02,0.12,2011.0
1563,The House of the Dead 2 & 3 Return,Shooter,M,Wii,Sega,Sega,6.5,1.45,0.77,0.5,0.03,0.15,2008.0
1565,BioShock,Shooter,M,PS3,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1.44,0.75,0.48,0.01,0.21,2008.0
1575,WWE SmackDown vs Raw 2008,Fighting,T,X360,THQ,Yuke's Media Creations,7.3,1.43,0.92,0.38,0.0,0.13,2007.0
1578,Kinect Joy Ride,Racing,E,X360,Microsoft Game Studios,Big Park,5.6,1.43,0.92,0.39,0.0,0.12,2010.0
1597,UFC Undisputed 2010,Fighting,T,PS3,THQ,Yuke's Future Media Creators,8.4,1.42,0.8,0.4,0.02,0.19,2010.0
1598,Rayman Raving Rabbids,Misc,E,Wii,Ubisoft,Ubisoft Montpellier,7.5,1.42,1.22,0.07,0.02,0.11,2006.0
1608,Ridge Racer,Racing,E,PSP,Namco,Namco,8.8,1.41,0.36,0.45,0.32,0.27,2005.0
1635,Sonic Generations,Platform,E,X360,Sega,Sonic Team,7.7,1.39,0.71,0.54,0.0,0.13,2011.0
1643,Far Cry 2,Shooter,M,PS3,Ubisoft,Ubisoft Montreal,8.4,1.38,0.43,0.69,0.01,0.26,2008.0
1645,Deus Ex: Human Revolution,Shooter,M,X360,Square Enix,Eidos Montreal,8.8,1.38,0.77,0.47,0.02,0.12,2011.0
1648,Deus Ex: Human Revolution,Shooter,M,PS3,Square Enix,Eidos Montreal,8.8,1.38,0.5,0.6,0.07,0.22,2011.0
1658,Crysis 2,Shooter,M,X360,Electronic Arts,Crytek,8.7,1.37,0.73,0.5,0.02,0.13,2011.0
1660,Dead Rising 2,Action,M,PS3,Capcom,Blue Castle Games,8.1,1.37,0.43,0.57,0.15,0.22,2010.0
1671,Need for Speed: The Run,Racing,T,X360,Electronic Arts,EA Black Box,5.5,1.37,0.63,0.57,0.0,0.16,2011.0
1676,Wolfenstein II: The New Colossus,Shooter,M,PS4,Bethesda Softworks,MachineGames,9.0,1.36,0.55,0.58,0.01,0.22,2017.0
1680,Gardening Mama,Puzzle,E,DS,Majesco,Taito Corporation,6.6,1.36,0.79,0.42,0.01,0.13,2009.0
1683,Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,T,PS3,Capcom,Capcom,8.2,1.36,0.81,0.28,0.11,0.15,2011.0
1685,Metroid: Other M,Action,T,Wii,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36,0.85,0.28,0.13,0.1,2010.0
1691,Burnout Paradise,Racing,E10,X360,Electronic Arts,Criterion,8.9,1.35,0.63,0.57,0.01,0.14,2008.0
1700,FIFA Soccer 09,Sports,E,PSP,EA Sports,EA Canada,8.1,1.35,0.23,0.73,0.02,0.37,2008.0
1705,Tom Clancy's Rainbow Six: Vegas 2,Shooter,M,PS3,Ubisoft,Ubisoft Montreal,8.2,1.34,0.66,0.45,0.04,0.2,2008.0
1706,Devil May Cry 4,Action,M,X360,Capcom,Capcom,8.5,1.34,0.79,0.34,0.08,0.13,2008.0
1707,F1 2010,Racing,E,PS3,Codemasters,Codemasters Birmingham,8.0,1.34,0.25,0.75,0.08,0.26,2010.0
1710,The ICO & Shadow of the Colossus Collection,Adventure,T,PS3,Sony Computer Entertainment,Bluepoint Games,9.0,1.34,0.67,0.36,0.13,0.18,2011.0
1711,Donkey Kong Jungle Beat,Platform,E10,GC,Nintendo,Nintendo EAD Tokyo,7.9,1.34,0.84,0.22,0.24,0.04,2005.0
1712,Need for Speed Carbon,Racing,E10,PS2,Electronic Arts,EA Black Box,7.7,1.34,1.22,0.05,0.05,0.01,2006.0
1713,Battlefield: Bad Company,Shooter,T,PS3,Electronic Arts,EA Digital Illusions CE,8.6,1.34,0.76,0.36,0.05,0.17,2008.0
1719,Crysis 2,Shooter,M,PS3,Electronic Arts,Crytek,8.8,1.33,0.48,0.57,0.06,0.22,2011.0
1721,Alan Wake,Action,T,X360,Microsoft Game Studios,Remedy Entertainment,8.3,1.33,0.66,0.5,0.05,0.12,2010.0
1722,Spider-Man: The Movie,Platform,E,GBA,Activision,Digital Eclipse,7.9,1.33,0.92,0.35,0.01,0.05,2002.0
1727,Tony Hawk's Pro Skater,Sports,E,GB,Activision,Natsume,7.1,1.33,0.9,0.38,0.01,0.05,2000.0
1732,Grand Theft Auto: Chinatown Wars,Adventure,M,DS,Rockstar Games,Rockstar Leeds/North,9.5,1.33,0.58,0.56,0.05,0.14,2009.0
1733,WWE SmackDown vs Raw 2008,Fighting,T,PS3,THQ,Yuke's Media Creations,7.3,1.33,0.62,0.5,0.01,0.2,2007.0
1735,UFC Undisputed 2010,Fighting,T,X360,THQ,Yuke's Future Media Creators,8.6,1.32,0.9,0.31,0.0,0.11,2010.0
1736,Fallout 76,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,5.1,1.32,0.52,0.49,0.1,0.2,2018.0
1737,Need for Speed Underground Rivals,Racing,E,PSP,Electronic Arts,Team Fusion,7.6,1.32,0.69,0.38,0.02,0.24,2005.0
1741,MAG: Massive Action Game,Shooter,T,PS3,Sony Computer Entertainment,Zipper Interactive,7.4,1.32,0.77,0.3,0.09,0.16,2010.0
1747,Rage,Shooter,M,PS3,Bethesda Softworks,id Software,7.9,1.32,0.47,0.59,0.06,0.2,2011.0
1766,NBA Live 07,Sports,E,PS2,EA Sports,EA Canada,6.3,1.3,1.07,0.04,0.02,0.17,2006.0
1786,The Last Guardian,Action-Adventure,T,PS4,Sony Interactive Entertainment,SIE Japan Studio,7.9,1.29,0.4,0.58,0.13,0.19,2016.0
1804,Need for Speed Carbon,Racing,E10,Wii,Electronic Arts,EA Black Box,6.4,1.28,0.45,0.66,0.02,0.15,2006.0
1814,Castlevania: Symphony of the Night,Platform,T,PS,Konami,Konami Computer Entertainment Tokyo,9.3,1.27,0.58,0.4,0.21,0.08,1997.0
1819,WWE '12,Fighting,T,X360,THQ,"Yuke's Co., Ltd.",7.5,1.27,0.74,0.4,0.0,0.12,2011.0
1826,.hack//Infection Part 1,Role-Playing,T,PS2,Bandai,CyberConnect2,7.7,1.27,0.49,0.38,0.26,0.13,2003.0
1835,Hyrule Warriors,Misc,T,WiiU,Nintendo,Omega Force,7.4,1.26,0.59,0.44,0.13,0.1,2014.0
1838,Tomb Raider: Underworld,Adventure,T,PS3,Eidos Interactive,Crystal Dynamics,7.8,1.26,0.45,0.55,0.05,0.21,2008.0
1841,SOCOM: U.S. Navy SEALs Confrontation,Shooter,M,PS3,Sony Computer Entertainment,Slant Six Games,6.3,1.26,0.94,0.17,0.02,0.14,2008.0
1844,Assassin's Creed: Bloodlines,Action,M,PSP,Ubisoft,Griptonite Studio,6.3,1.26,0.43,0.5,0.05,0.28,2009.0
1857,Need for Speed: Most Wanted,Racing,T,X360,Electronic Arts,Electronic Arts,8.4,1.25,1.0,0.13,0.02,0.1,2005.0
1859,Black,Shooter,M,PS2,Electronic Arts,Criterion Games,7.7,1.25,1.01,0.04,0.03,0.16,2006.0
1865,Cars 2,Racing,E,DS,Disney Interactive Studios,Avalanche Software,6.5,1.25,0.68,0.41,0.04,0.12,2011.0
1880,Need for Speed Carbon,Racing,E10,PS3,Electronic Arts,EA Black Box,7.8,1.24,0.49,0.51,0.03,0.2,2006.0
1887,2010 FIFA World Cup South Africa,Sports,E,PS3,EA Sports,EA Canada,8.2,1.23,0.3,0.64,0.07,0.22,2010.0
1894,Donkey Kong Country 2,Platform,E,GBA,Nintendo,Rare Ltd.,7.6,1.23,0.79,0.27,0.12,0.04,2004.0
1896,Star Wars Battlefront II,Shooter,T,PSP,LucasArts,Savage Entertainment,6.9,1.22,1.05,0.06,0.01,0.1,2005.0
1897,Intelligent Qube,Puzzle,E,PS,Sony Computer Entertainment,Sony Computer Entertainment,7.4,1.22,0.13,0.07,1.0,0.02,1997.0
1916,Bayonetta,Action,M,PS3,Sega,PlatinumGames,8.6,1.21,0.44,0.4,0.21,0.16,2010.0
1925,Boom Blox,Puzzle,E,Wii,Electronic Arts,EA Los Angeles,8.6,1.21,0.71,0.38,0.0,0.12,2008.0
1927,FIFA Soccer 11,Sports,E,PSP,EA Sports,HB Studios,7.0,1.21,0.13,0.7,0.01,0.36,2010.0
1933,F1 2011,Racing,E,PS3,Codemasters,Codemasters Birmingham,8.4,1.2,0.12,0.75,0.11,0.23,2011.0
1934,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,PS4,Konami Digital Entertainment,Kojima Productions,7.6,1.2,0.36,0.5,0.17,0.17,2014.0
1958,Shadow of the Colossus,Action-Adventure,T,PS4,Sony Interactive Entertainment,Bluepoint Games,9.3,1.2,0.44,0.52,0.05,0.19,2018.0
1961,Mario & Sonic at the London 2012 Olympic Games,Sports,E,3DS,Sega,Sega,6.5,1.19,0.18,0.66,0.27,0.08,2012.0
1966,Metal Gear Solid: Portable Ops,Action,M,PSP,Konami,Kojima Productions,8.7,1.19,0.38,0.35,0.38,0.09,2006.0
1974,Spider-Man: The Movie,Action,E,GC,Activision,Treyarch,7.6,1.19,0.86,0.27,0.01,0.04,2002.0
1976,Final Fantasy I & II: Dawn of Souls,Role-Playing,E,GBA,Nintendo,Square Enix,7.1,1.19,0.64,0.24,0.29,0.02,2004.0
1992,Red Dead Redemption: Undead Nightmare,Action,M,PS3,Rockstar Games,Rockstar San Diego,10.0,1.18,0.47,0.45,0.06,0.19,2010.0
1993,WWE '12,Fighting,T,PS3,THQ,"Yuke's Co., Ltd.",9.0,1.18,0.53,0.45,0.02,0.17,2011.0
1998,Mission: Impossible,Action,T,N64,Ocean,Infogrames,6.6,1.17,0.74,0.38,0.02,0.03,1998.0
2000,WWE SmackDown vs. Raw 2010,Fighting,T,PS3,THQ,JAKKS Pacific,8.1,1.17,0.48,0.48,0.01,0.19,2009.0
2002,Army of Two,Shooter,M,PS3,Electronic Arts,EA Montreal,7.4,1.17,0.74,0.26,0.02,0.15,2008.0
2006,Sunset Overdrive,Action,M,XOne,Microsoft Studios,Insomniac Games,8.0,1.16,0.64,0.42,0.0,0.1,2014.0
2010,Bushido Blade,Fighting,T,PS,Sony Computer Entertainment,Light Weight,8.2,1.16,0.39,0.27,0.43,0.08,1997.0
2013,Mirror's Edge,Platform,T,X360,Electronic Arts,EA Digital Illusions CE,7.6,1.16,0.51,0.51,0.01,0.12,2008.0
2023,Medal of Honor Heroes 2,Shooter,T,PSP,Electronic Arts,Team Fusion,6.6,1.16,0.5,0.39,0.02,0.25,2007.0
2025,FIFA Soccer 10,Sports,E,PSP,EA Sports,EA Canada,7.9,1.16,0.16,0.68,0.01,0.31,2009.0
2030,The Elder Scrolls V: Skyrim,Role-Playing,M,NS,Bethesda Softworks,Bethesda Softworks,8.6,1.15,0.67,0.32,0.06,0.1,2017.0
2035,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,T,3DS,Nintendo,Level 5 / Armor Project,8.8,1.15,0.14,0.11,0.88,0.02,2017.0
2036,Ratchet & Clank: All 4 One,Platform,E10,PS3,Sony Computer Entertainment,Insomniac Games,7.5,1.15,0.75,0.22,0.05,0.13,2011.0
2053,007: Quantum of Solace,Shooter,T,PS3,Activision,Treyarch,6.6,1.14,0.43,0.51,0.02,0.19,2008.0
2057,Shadow of the Colossus,Adventure,T,PS2,Sony Computer Entertainment,Team ICO,9.1,1.14,0.78,0.03,0.2,0.13,2005.0
2058,Brave Fencer Musashi,Role-Playing,E,PS,Square,SquareSoft,8.4,1.14,0.25,0.17,0.65,0.07,1998.0
2061,Hot Shots Golf: Out of Bounds,Sports,E,PS3,Sony Computer Entertainment,Clap Hanz,8.3,1.14,0.31,0.03,0.76,0.04,2008.0
2082,Mirror's Edge,Platform,T,PS3,Electronic Arts,EA Digital Illusions CE,7.7,1.13,0.31,0.59,0.02,0.21,2008.0
2083,Rocksmith,Misc,T,X360,Ubisoft,Ubisoft,8.0,1.13,0.85,0.19,0.01,0.08,2011.0
2084,Plants vs Zombies: Garden Warfare,Shooter,E10,X360,Electronic Arts,PopCap Games,8.0,1.13,0.54,0.5,0.0,0.09,2014.0
2091,Rocksmith,Misc,T,PS3,Ubisoft,Ubisoft,8.0,1.13,0.53,0.38,0.09,0.13,2011.0
2096,ModNation Racers,Racing,E,PS3,Sony Computer Entertainment,United Front Games,8.1,1.13,0.5,0.4,0.06,0.16,2010.0
2099,SOCOM: U.S. Navy SEALs Fireteam Bravo,Shooter,M,PSP,Sony Computer Entertainment,Zipper Interactive,7.9,1.12,1.03,0.0,0.01,0.08,2005.0
2114,Dragon Age II,Role-Playing,M,X360,Electronic Arts,BioWare Corp.,8.0,1.12,0.72,0.29,0.01,0.09,2011.0
2117,Crackdown 2,Shooter,M,X360,Microsoft Game Studios,Ruffian Games,7.5,1.12,0.63,0.36,0.02,0.1,2010.0
2118,Crash Bandicoot N. Sane Trilogy,Platform,E10,NS,Activision,Toys for Bob,6.0,1.11,0.44,0.57,0.02,0.09,2018.0
2123,Castlevania: Lords of Shadow,Action,M,PS3,Konami,Mercury Steam,8.1,1.11,0.5,0.37,0.1,0.15,2010.0
2134,Red Dead Redemption: Undead Nightmare,Action,M,X360,Rockstar Games,Rockstar San Diego,10.0,1.11,0.61,0.38,0.02,0.1,2010.0
2166,FIFA 18,Sports,E,NS,EA Sports,EA Vancouver,5.8,1.1,0.35,0.55,0.13,0.07,2017.0
2167,GRID,Racing,E,PS3,Codemasters,Codemasters,8.6,1.1,0.31,0.57,0.03,0.19,2008.0
2171,Tales of Symphonia,Role-Playing,T,GC,Namco,Namco Tales Studio,8.5,1.1,0.54,0.21,0.31,0.04,2004.0
2177,Star Ocean: The Second Story,Role-Playing,E,PS,Sony Computer Entertainment,tri-Ace,8.2,1.1,0.26,0.1,0.72,0.02,1999.0
2180,Untold Legends: Brotherhood of the Blade,Role-Playing,T,PSP,Sony Online Entertainment,Sony Online Entertainment,6.5,1.09,0.54,0.33,0.01,0.22,2005.0
2192,Bully: Scholarship Edition,Action,T,X360,Rockstar Games,Rockstar Vancouver/Mad Doc Software,8.1,1.09,0.53,0.42,0.03,0.11,2008.0
2200,Skate 2,Sports,T,X360,Electronic Arts,EA Black Box,8.2,1.09,0.82,0.17,0.01,0.09,2009.0
2204,Dante's Inferno,Action,M,PS3,Electronic Arts,Visceral Games,7.3,1.08,0.64,0.28,0.04,0.12,2010.0
2206,Virtua Fighter 5,Fighting,T,PS3,Sega,Sega-AM2,8.7,1.08,0.29,0.52,0.08,0.2,2007.0
2207,Pro Evolution Soccer 2014,Sports,E,PS3,Konami Digital Entertainment,Konami,8.3,1.08,0.03,0.46,0.51,0.08,2013.0
2215,Grand Theft Auto: Chinatown Wars,Adventure,M,PSP,Rockstar Games,Rockstar Leeds,9.2,1.08,0.28,0.5,0.03,0.27,2009.0
2217,Star Fox: Assault,Shooter,T,GC,Nintendo,Namco,6.6,1.08,0.68,0.18,0.19,0.03,2005.0
2220,Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,T,X360,Capcom,Capcom,8.4,1.07,0.79,0.18,0.03,0.08,2011.0
2224,Prince of Persia,Adventure,T,PS3,Ubisoft,Ubisoft Montreal,8.3,1.07,0.47,0.41,0.03,0.17,2008.0
2229,Virtua Fighter,Fighting,T,SAT,Sega,Sega-AM2,9.0,1.07,0.17,0.12,0.77,0.02,1995.0
2233,Tomb Raider: Underworld,Adventure,T,X360,Eidos Interactive,Crystal Dynamics,7.5,1.07,0.53,0.42,0.01,0.11,2008.0
2235,SoulCalibur III,Fighting,T,PS2,Namco,Namco,8.5,1.07,0.74,0.15,0.13,0.05,2005.0
2236,Naruto: Ultimate Ninja Storm,Fighting,T,PS3,Namco Bandai,CyberConnect2,7.8,1.07,0.49,0.34,0.09,0.15,2008.0
2241,Spore Creatures,Simulation,E,DS,Electronic Arts,Foundation 9,7.2,1.07,0.66,0.3,0.0,0.1,2008.0
2245,DiRT 3,Racing,T,PS3,Codemasters,Codemasters,9.0,1.06,0.27,0.58,0.01,0.2,2011.0
2252,Endless Ocean,Adventure,E,Wii,Nintendo,Arika,6.8,1.06,0.43,0.46,0.09,0.09,2008.0
2255,Sonic Generations,Platform,E,3DS,Sega,Sonic Team,6.3,1.06,0.44,0.52,0.01,0.08,2011.0
2262,Darksiders,Action,M,X360,THQ,Vigil Games,7.8,1.06,0.67,0.28,0.01,0.1,2010.0
2264,Mercenaries 2: World in Flames,Shooter,T,X360,Electronic Arts,Pandemic Studios,7.1,1.06,0.65,0.3,0.01,0.1,2008.0
2267,Call of Duty 4: Modern Warfare,Shooter,T,DS,Activision,n-Space,7.3,1.05,0.95,0.02,0.01,0.08,2007.0
2269,Resident Evil: The Darkside Chronicles,Shooter,M,Wii,Capcom,"Cavia, inc.",7.2,1.05,0.46,0.31,0.2,0.09,2009.0
2277,MySims Agents,Adventure,E,Wii,Electronic Arts,EA Redwood Shores,7.5,1.05,0.63,0.32,0.0,0.1,2009.0
2294,Rocksmith 2014,Music,T,PS3,Ubisoft,Ubisoft San Francisco,9.1,1.05,0.56,0.26,0.05,0.17,2013.0
2300,WWE SmackDown vs. Raw 2010,Fighting,T,X360,THQ,JAKKS Pacific,8.2,1.04,0.56,0.37,0.01,0.1,2009.0
2301,Sleeping Dogs,Action-Adventure,M,PS3,Square Enix,United Front Games,8.1,1.04,0.31,0.5,0.05,0.17,2012.0
2302,Tales of Destiny,Role-Playing,T,PS,Namco,Wolfteam,6.2,1.04,0.09,0.06,0.83,0.07,1998.0
2308,Naruto: Clash of Ninja 2,Fighting,T,GC,D3 Publisher,8ing/Raizing,7.4,1.04,0.44,0.12,0.45,0.03,2006.0
2310,Bomberman 64,Puzzle,E,N64,Hudson Soft,Hudson Soft,6.1,1.04,0.5,0.2,0.31,0.03,1997.0
2319,MotorStorm: Arctic Edge,Racing,T,PSP,Sony Computer Entertainment,Bigbig Studios,7.7,1.04,0.16,0.58,0.0,0.3,2009.0
2320,Brink,Shooter,T,X360,Bethesda Softworks,Splash Damage,6.8,1.04,0.59,0.35,0.01,0.09,2011.0
2341,Sonic Unleashed,Platform,E10,PS3,Sega,Sonic Team,5.3,1.03,0.56,0.32,0.01,0.14,2008.0
2343,Dragon Ball Z: Budokai Tenkaichi 3,Fighting,T,Wii,Atari,Spike / Bandai Namco Games,7.5,1.03,0.32,0.36,0.26,0.08,2007.0
2350,Shrek 2,Platform,E,GC,Activision,"Luxoflux, Inc.",6.9,1.02,0.73,0.26,0.01,0.03,2004.0
2352,Bulletstorm,Shooter,M,X360,Electronic Arts,People Can Fly,8.5,1.02,0.61,0.32,0.01,0.08,2011.0
2368,F1 2012,Racing,E,PS3,Codemasters,Codemasters Birmingham,7.9,1.01,0.12,0.65,0.05,0.18,2012.0
2369,EyePet,Simulation,E,PS3,Sony Computer Entertainment,SCEE London Studio,6.9,1.01,0.37,0.52,0.04,0.09,2010.0
2379,Prince of Persia,Adventure,T,X360,Ubisoft,Ubisoft Montreal,8.2,1.01,0.54,0.34,0.02,0.1,2008.0
2382,NBA 2K10,Sports,E,X360,2K Sports,Visual Concepts,8.4,1.01,0.91,0.02,0.0,0.08,2009.0
2387,Breath of Fire III,Role-Playing,T,PS,Capcom,Capcom,7.6,1.0,0.29,0.19,0.46,0.07,1998.0
2389,Rayman Origins,Platform,E10,PS3,Ubisoft,Ubisoft,8.5,1.0,0.33,0.5,0.01,0.16,2011.0
2402,Excitebike 64,Racing,E,N64,Nintendo,Left Field Productions,8.9,1.0,0.65,0.15,0.19,0.01,2000.0
2435,Tom Clancy's Splinter Cell: Blacklist,Action-Adventure,M,X360,Ubisoft,Ubisoft Toronto,8.4,1.0,0.57,0.33,0.01,0.09,2013.0
2442,Ace Combat X: Skies of Deception,Simulation,T,PSP,Namco Bandai,Bandai Namco Games,7.6,1.0,0.37,0.31,0.12,0.19,2006.0
2444,Haze,Shooter,M,PS3,Ubisoft,Free Radical Design,5.6,0.99,0.49,0.33,0.02,0.15,2008.0
2448,DiRT 2,Racing,T,PS3,Codemasters,Codemasters,8.8,0.99,0.27,0.53,0.0,0.19,2009.0
2451,Apollo Justice: Ace Attorney,Adventure,T,DS,Capcom,Capcom,8.0,0.99,0.28,0.05,0.64,0.03,2008.0
2452,Rocksmith 2014,Music,T,X360,Ubisoft,Ubisoft San Francisco,8.4,0.99,0.73,0.16,0.0,0.1,2013.0
2459,Army of Two: The 40th Day,Shooter,M,X360,Electronic Arts,EA Montreal,7.1,0.99,0.65,0.24,0.0,0.09,2010.0
2463,Tom Clancy's Splinter Cell: Blacklist,Action-Adventure,M,PS3,Ubisoft,Ubisoft Toronto,8.3,0.98,0.34,0.44,0.06,0.15,2013.0
2467,Pro Evolution Soccer 2008,Sports,E,PSP,Konami,Konami,7.8,0.98,0.02,0.53,0.19,0.25,2008.0
2469,Sniper Elite V2,Shooter,M,PS3,505 Games,Rebellion Developments,7.4,0.98,0.38,0.4,0.06,0.15,2012.0
2470,Zoo Tycoon DS,Strategy,E,DS,THQ,Blue Fang Games,4.6,0.98,0.86,0.03,0.01,0.07,2005.0
2478,Suikoden III,Role-Playing,T,PS2,Konami,KCET,8.6,0.98,0.29,0.23,0.38,0.08,2002.0
2486,Fire Emblem,Strategy,E,GBA,Nintendo,Intelligent Systems,8.8,0.97,0.49,0.18,0.29,0.01,2003.0
2503,Dark Cloud 2,Role-Playing,T,PS2,Sony Computer Entertainment,Level 5,8.6,0.96,0.38,0.25,0.26,0.07,2003.0
2509,Star Fox 64 3D,Shooter,E10,3DS,Nintendo,Nintendo EAD,8.0,0.96,0.48,0.29,0.13,0.07,2011.0
2514,de Blob,Platform,E,Wii,THQ,Blue Tongue,8.1,0.96,0.49,0.37,0.0,0.1,2008.0
2517,PilotWings Resort,Simulation,E,3DS,Nintendo,Monster Games,6.9,0.96,0.4,0.36,0.13,0.07,2011.0
2533,Harvest Moon 3D: A New Beginning,Simulation,E,3DS,Natsume,Marvelous,8.2,0.95,0.41,0.18,0.31,0.06,2012.0
2536,Sonic Unleashed,Platform,E10,X360,Sega,Sonic Team,5.6,0.95,0.54,0.32,0.0,0.09,2008.0
2545,Wild ARMs,Role-Playing,E,PS,Sony Computer Entertainment,Media.Vision,8.9,0.95,0.26,0.17,0.46,0.06,1997.0
2549,Lost Planet 2,Shooter,T,PS3,Capcom,Capcom,6.6,0.95,0.29,0.34,0.2,0.12,2010.0
2550,Driver: San Francisco,Racing,T,PS3,Ubisoft,Ubisoft Reflections,8.2,0.95,0.24,0.53,0.01,0.17,2011.0
2554,White Knight Chronicles: International Edition,Role-Playing,T,PS3,Sony Computer Entertainment,Level 5,6.3,0.95,0.34,0.16,0.36,0.09,2010.0
2557,Disney Magic Castle: My Happy Life,Simulation,E,3DS,Nintendo,High Horse Entertainment,7.9,0.94,0.17,0.2,0.53,0.03,2014.0
2574,SaGa Frontier 2,Role-Playing,T,PS,Square EA,SquareSoft,7.4,0.94,0.1,0.07,0.71,0.06,2000.0
2591,Kingdom Hearts Re:coded,Role-Playing,E10,DS,Square Enix,High Horse Entertainment,6.8,0.93,0.53,0.09,0.27,0.05,2011.0
2602,Bayonetta,Action,M,X360,Sega,PlatinumGames,8.9,0.93,0.51,0.25,0.09,0.08,2010.0
2607,Operation Flashpoint: Dragon Rising,Shooter,M,X360,Codemasters,Codemasters,7.4,0.93,0.36,0.45,0.02,0.1,2009.0
2613,Phoenix Wright: Ace Attorney,Adventure,T,DS,Capcom,Capcom,8.1,0.93,0.44,0.05,0.39,0.05,2005.0
2621,Dante's Inferno,Action,M,X360,Electronic Arts,Visceral Games,7.0,0.92,0.63,0.2,0.02,0.08,2010.0
2631,Xenoblade Chronicles,Role-Playing,T,Wii,Nintendo,Monolith Soft,9.3,0.92,0.43,0.25,0.16,0.07,2012.0
2632,Crysis 3,Shooter,M,X360,Electronic Arts,Crytek,7.6,0.92,0.51,0.32,0.01,0.08,2013.0
2636,Tobal No.1,Fighting,T,PS,Sony Computer Entertainment,DreamFactory,7.7,0.92,0.12,0.08,0.66,0.06,1996.0
2637,Blue Dragon,Role-Playing,T,X360,Microsoft Game Studios,Mistwalker Corporation / Artoon,7.7,0.92,0.3,0.33,0.21,0.08,2007.0
2640,EA Sports Grand Slam Tennis,Sports,E,Wii,EA Sports,EA Vancouver,7.9,0.92,0.28,0.51,0.02,0.11,2009.0
2642,Dynasty Warriors 7,Action,T,PS3,Tecmo Koei,Omega Force,5.8,0.91,0.25,0.14,0.46,0.06,2011.0
2645,Crysis 3,Shooter,M,PS3,Electronic Arts,Crytek,8.2,0.91,0.26,0.48,0.03,0.14,2013.0
2647,Tom Clancy's EndWar,Strategy,T,X360,Ubisoft,Ubisoft Shanghai,8.0,0.91,0.58,0.24,0.01,0.09,2008.0
2649,Sonic Riders: Zero Gravity,Racing,E,Wii,Sega,Sonic Team,5.8,0.91,0.48,0.32,0.02,0.09,2008.0
2650,Colin McRae Rally 2.0,Racing,E,PS,Codemasters,Codemasters,8.3,0.91,0.02,0.8,0.02,0.07,2000.0
2658,Operation Flashpoint: Dragon Rising,Shooter,M,PS3,Codemasters,Codemasters,7.3,0.91,0.23,0.46,0.05,0.17,2009.0
2664,Homefront,Shooter,M,PS3,THQ,Kaos Studios,6.6,0.9,0.32,0.4,0.04,0.15,2011.0
2665,Lost Odyssey,Role-Playing,T,X360,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,7.5,0.9,0.45,0.26,0.11,0.08,2008.0
2672,SOCOM 4: U.S. Navy SEALs,Shooter,M,PS3,Sony Computer Entertainment,Zipper Interactive,7.0,0.9,0.66,0.12,0.04,0.09,2011.0
2680,Resistance: Retribution,Shooter,M,PSP,Sony Computer Entertainment,SCEA Bend Studio,8.0,0.9,0.27,0.36,0.05,0.22,2009.0
